;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1990-01-31;395,892609;3017,533674;248,133824;95,517342;108,63547;117,903031;111,206712;82,786439;69,622457;71,152733;87,624893;37,800339;48,157115
1990-02-28;343,792821;2828,569346;232,616753;97,016789;82,816204;112,035314;94,587681;72,501634;73,795864;73,406339;91,855044;37,537641;41,456954
1990-03-31;395,463148;3130,635347;264,74647;118,258726;92,174856;125,604533;108,334131;83,717281;77,640551;90,534375;102,950769;45,707528;40,747949
1990-04-30;366,131971;3012,432439;225,175406;112,373892;85,508302;109,572814;108,105499;78,595727;83,07261;80,560734;101,442834;40,462338;33,890067
1990-05-31;369,201396;2970,165061;220,624298;120,090908;70,698257;117,293883;110,349641;85,942817;95,190774;80,186719;100,054326;51,67188;42,559831
1990-06-30;350,270643;1862,89823;245,684475;125,327824;85,368217;119,256791;105,19145;81,978387;82,14646;94,82529;101,908141;43,278988;119,717564
1990-07-31;307,255605;333,40216;247,357743;126,298063;86,126927;144,962502;110,516772;76,505251;85,076969;85,641098;57,56919;42,702057;162,995456
1990-08-31;361,567333;1982,850133;221,50113;92,627439;50,905539;55,336406;114,674447;78,999544;88,355519;70,401434;92,794663;44,418392;214,971643
1990-09-30;358,171862;3132,384342;255,307272;114,757879;100,209678;86,20283;105,089345;77,725098;54,790362;89,078786;96,355107;29,400812;231,952215
1990-10-31;375,762525;3118,683881;282,751701;131,119754;99,192755;134,347203;121,784953;86,145651;62,501538;83,891323;92,362221;37,947573;134,859788
1990-11-30;356,262988;3121,963247;260,637354;116,162622;98,779701;127,510036;115,295984;81,768216;56,18595;85,691809;86,016144;34,844415;87,406937
1990-12-31;362,40471;3072,481265;206,353402;75,679564;97,256248;102,145422;107,938516;83,685915;38,06397;84,631362;69,012275;33,040955;53,506707
1991-01-31;355,655422;3179,461455;273,991911;97,884082;96,991643;119,67178;120,68655;91,843441;81,872967;76,217203;93,861805;49,360705;49,877036
1991-02-28;314,221778;2904,577751;254,161233;76,115571;83,312527;107,543264;101,149124;77,036865;77,653934;76,956008;96,296827;37,481633;43,284334
1991-03-31;356,136591;3280,684537;264,20721;117,517633;103,060552;115,747972;113,284206;88,866202;76,244138;91,548421;104,10389;47,633997;42,769915
1991-04-30;348,990878;3112,489524;254,072735;129,888043;80,963894;120,139544;114,492417;90,109889;79,84576;85,804604;108,045969;62,983387;35,541966
1991-05-31;364,181443;3239,510281;244,461189;119,801857;93,865842;116,433882;113,209681;88,129518;72,263727;79,649309;99,383775;55,357334;44,286953
1991-06-30;350,148555;3178,951332;252,242662;130,945788;88,28797;122,325192;105,397101;84,615895;72,102354;97,305814;104,573947;52,850708;128,366581
1991-07-31;354,766338;3073,355763;261,099163;134,776256;89,543097;157,378809;119,962274;84,38789;95,384802;92,017891;61,855764;62,262744;170,706751
1991-08-31;356,833208;2955,590104;184,81758;92,961082;53,083105;48,511674;114,452595;77,225563;69,769644;71,515435;94,263009;48,316851;218,700279
1991-09-30;353,058548;2011,854299;274,860485;120,258212;107,455301;120,843873;115,739968;86,088295;57,476166;93,459189;101,093321;44,017634;239,572807
1991-10-31;371,519623;2619,047041;272,766151;133,098417;99,841638;133,510286;125,536592;97,452619;61,863045;85,359255;93,978377;43,699806;136,247818
1991-11-30;350,883953;2978,837161;230,26815;107,737795;101,848335;121,212754;107,45537;91,438134;53,033373;87,738937;88,071022;39,755814;87,981982
1991-12-31;358,967586;3241,040652;187,868134;83,948043;108,849334;117,330811;115,588623;96,769876;46,924194;86,044092;70,164279;44,732298;54,827794
1992-01-31;354,04243;3243,882769;268,615593;87,468838;108,001268;123,896155;121,898097;90,895944;71,67689;75,929382;93,507354;55,394681;50,718503
1992-02-29;333,063479;3013,452686;246,222102;93,325561;103,88172;112,502096;101,664459;78,87022;69,199014;77,256177;96,672447;48,868201;43,939588
1992-03-31;362,351566;3217,793594;269,849561;117,776358;89,121617;125,422429;120,037109;92,076431;68,982789;93,308302;106,105136;56,393023;43,069376
1992-04-30;349,637224;3031,817133;257,032919;117,167866;107,311711;132,83252;122,160631;94,859561;73,917364;86,25354;108,611273;62,926536;35,681387
1992-05-31;358,420347;3070,586521;226,128131;105,683239;75,63582;111,452241;105,100331;86,455345;85,5411;77,849539;97,138082;60,826865;44,82689
1992-06-30;339,900382;2027,012255;245,925548;123,131603;107,520172;143,366312;117,560923;96,60529;87,025028;103,16393;110,86962;62,753116;131,025566
1992-07-31;352,703776;2618,318293;241,677984;116,648436;99,475491;148,011954;116,320547;91,737453;81,865106;91,736612;61,666682;55,185214;176,496777
1992-08-31;343,193874;2615,257552;166,932777;81,415885;68,566354;37,487449;111,106201;83,839134;79,20778;72,281576;95,272846;47,721484;229,328829
1992-09-30;331,559647;2660,592958;246,338358;114,193172;120,093796;125,409328;119,111844;98,410958;41,898513;98,581835;106,634402;55,738032;249,793485
1992-10-31;336,094123;3105,347795;227,486799;114,309295;99,953485;123,336355;113,518817;95,669568;53,278836;83,791912;92,25278;41,330864;142,336223
1992-11-30;323,442979;2928,334933;221,30244;100,078454;117,335451;112,725056;112,37531;90,469023;56,045835;86,601147;86,928929;43,833625;91,47151
1992-12-31;332,59811;3158,327767;180,566487;75,022085;100,460749;103,834025;120,241265;96,111874;50,829687;92,343912;75,301435;50,558119;56,072538
1993-01-31;332,509058;3403,259932;209,849437;77,167294;103,922736;114,066705;106,934447;85,876072;70,763807;70,325665;86,606351;49,370401;49,695642
1993-02-28;303,638941;3011,922315;234,831767;87,371742;96,195167;107,588946;101,894002;88,7866;68,460234;74,884296;93,704451;48,764248;42,520713
1993-03-31;332,365425;3404,717428;252,944727;103,014297;87,55062;122,269676;121,31379;95,461282;63,885886;92,941364;105,68787;63,934917;41,387918
1993-04-30;330,498204;3180,991826;231,587041;104,469484;97,516216;108,363657;108,264768;95,006079;79,545587;81,974662;103,223272;64,040731;34,364014
1993-05-31;334,376279;3109,574533;204,16886;97,190875;79,594901;97,345723;102,517849;87,065683;80,462326;75,002306;93,585401;60,180351;43,045584
1993-06-30;317,140389;2176,041199;234,99839;118,788496;104,885572;114,03127;117,710349;103,364137;93,768931;100,256634;107,745167;70,130061;123,532702
1993-07-31;325,471069;3069,493399;240,525581;111,208804;95,073097;134,476225;106,850253;88,909055;89,33455;86,929533;58,435292;61,708023;164,798629
1993-08-31;318,720345;3328,1989;173,11673;80,308091;54,599944;32,934553;113,427968;86,804713;73,690098;71,558036;94,319155;52,296996;212,133837
1993-09-30;317,571286;1937,011891;263,764871;108,447731;116,829979;118,377521;114,469921;106,324244;56,804714;96,961233;104,881423;43,988708;232,971071
1993-10-31;343,568754;2780,909234;225,346273;103,217052;102,860371;105,75865;108,616043;99,040098;59,380011;81,820489;90,082287;45,078086;133,799961
1993-11-30;340,552473;3331,842639;209,243444;89,724715;113,979143;104,402548;112,55542;95,348181;59,618759;87,584424;87,915929;48,877897;86,971515
1993-12-31;359,081056;3412,733655;184,717456;76,897559;116,060494;96,72691;111,457985;102,942744;47,040771;93,198531;75,998332;49,369746;54,064463
1994-01-31;352,330332;2689,087;228,974752;76,240911;138,20141;99,550631;107,564096;92,767127;70,8399;72,460912;89,235921;45,000688;50,248068
1994-02-28;311,251459;3046,902214;199,795029;78,567519;91,758457;96,264651;98,007142;87,463336;77,161417;75,875594;94,944882;48,42307;42,7915
1994-03-31;349,30256;3332,498512;260,253041;111,265489;89,536363;111,775978;117,724325;101,944443;70,030102;93,986163;106,87596;65,876688;41,048801
1994-04-30;330,341644;3233,898923;206,45502;102,252765;106,080944;105,008038;102,4705;95,979936;74,592748;80,01058;100,750069;53,438801;34,014798
1994-05-31;342,119503;2979,27441;235,69628;107,688639;92,049247;107,61173;107,103433;100,550824;86,194087;79,591953;99,312204;67,096402;42,566276
1994-06-30;338,304626;2558,269467;242,857952;126,79137;111,298515;117,89057;107,028229;107,660876;94,558112;100,581428;108,094214;65,615044;125,409091
1994-07-31;333,557574;3320,692796;220,011403;110,085038;99,832193;131,15185;97,947415;91,540033;116,971497;87,326366;58,702053;70,53802;165,14907
1994-08-31;331,74637;3548,790886;177,21157;93,703188;60,536472;41,64776;113,491449;94,832378;95,906031;74,809229;98,604485;62,276187;209,193291
1994-09-30;327,550866;2387,378087;243,023255;114,656475;110,425586;114,148291;109,201733;103,464882;58,751921;96,441382;104,319111;49,376053;232,795169
1994-10-31;328,957028;2976,140794;234,999256;112,194784;126,760106;110,799158;107,341366;97,830822;65,552125;83,192224;91,592532;52,91727;131,828377
1994-11-30;315,324875;3168,457362;215,409756;108,075258;106,65595;102,367795;107,451186;102,062252;75,942108;89,746611;90,086292;53,431088;85,709852
1994-12-31;315,833334;3241,259276;175,391398;86,558092;135,590826;110,536584;107,129864;106,028224;57,00852;89,271963;72,796437;57,22958;53,777759
1995-01-31;308,352957;3446,911931;230,280633;78,481348;125,604864;105,95707;108,758239;105,742275;76,954807;75,86502;93,4281;58,445588;50,819646
1995-02-28;275,66509;3009,808947;216,484536;89,901495;92,914444;111,086672;98,858382;97,861025;75,307734;77,462382;96,930468;62,83232;43,532412
1995-03-31;314,582295;3221,510209;243,610938;110,08616;119,438341;124,466768;116,013927;118,748479;78,592908;96,671338;109,929395;72,858292;41,908063
1995-04-30;293,909281;3052,149199;221,805359;104,43206;109,766016;106,919798;102,031519;102,372739;71,455426;82,15423;103,449379;73,714575;34,624075
1995-05-31;307,070319;3182,449322;231,781764;111,921731;97,486582;111,904827;115,170293;114,657443;77,291137;83,724939;104,469214;87,136403;43,273952
1995-06-30;300,533608;1394,677711;239,208028;124,793455;116,733037;127,868585;108,742751;116,071111;77,909497;102,782367;110,459554;74,928619;130,37504
1995-07-31;298,515572;2001,360329;219,75658;111,600039;100,666506;127,307795;102,627895;95,853593;73,713033;88,080611;59,209061;76,843509;169,819812
1995-08-31;299,676122;2944,950384;174,778509;87,555812;80,335436;72,803874;115,56481;102,123748;85,039751;75,73633;99,826484;65,497188;211,840083
1995-09-30;289,851665;3110,44903;250,902215;113,362671;121,659716;122,748214;108,606904;105,958695;72,994731;98,403469;106,441467;50,250436;237,835778
1995-10-31;304,611332;3087,274847;226,017685;119,176051;111,464084;119,712359;114,401585;111,366806;76,798075;87,354912;96,175549;59,855589;132,840153
1995-11-30;313,862697;3110,667655;218,265623;102,726493;104,963484;114,533526;107,585613;110,68778;79,406513;92,101736;92,450338;59,690308;85,93533
1995-12-31;286,36427;3127,720355;154,798839;69,740753;129,550739;91,872338;103,974134;107,9997;71,159398;91,326265;74,471603;62,112899;54,155753
1996-01-31;286,612754;3215,315851;217,419412;78,577509;125,659278;135,189688;118,674433;111,659655;80,740669;79,269899;97,621205;61,292082;53,476251
1996-02-29;250,372856;2891,16879;206,163188;72,887825;106,687208;126,088198;102,971947;100,89582;79,743289;82,241007;102,910068;62,162181;45,604665
1996-03-31;272,084334;3152,789283;198,879827;97,29642;119,691997;139,550974;108,398883;109,214601;74,005826;94,415064;107,363679;68,407611;43,44306
1996-04-30;262,901913;2819,970121;201,249525;107,065904;106,752376;126,414145;107,30778;117,166727;79,950745;87,102987;109,680906;88,683137;35,687575
1996-05-31;266,584649;2819,897247;200,528539;100,001847;93,890224;128,748395;114,245728;115,377131;78,781684;84,75177;105,750455;86,498734;44,72503
1996-06-30;253,412118;1673,569529;197,22591;110,998088;103,653087;134,285137;105,098146;104,982017;74,716045;100,743209;108,268087;92,211829;134,103881
1996-07-31;258,726519;1426,15962;220,652363;117,648977;92,506804;150,376314;121,116937;116,385722;75,830993;96,097946;64,598439;70,760141;175,76667
1996-08-31;251,55926;2262,762197;150,104824;74,365533;64,237071;78,226309;117,811702;107,399116;83,058834;76,989808;101,478665;55,128403;221,177502
1996-09-30;236,868536;2569,637934;220,986647;102,298046;119,531556;130,686523;113,824295;112,820906;72,987545;100,801101;109,03495;56,347838;248,194743
1996-10-31;237,244853;2507,912988;236,756735;113,919255;125,671219;138,585613;120,719758;126,008128;86,074265;91,643376;100,897035;65,220287;139,787408
1996-11-30;225,949599;2496,763145;190,778935;83,395174;120,060965;114,594483;103,848253;113,538122;73,97182;91,979332;92,327475;54,576002;90,644921
1996-12-31;228,349697;2544,93338;170,798344;69,779932;104,602388;95,013207;112,398867;123,863878;73,036774;95,730863;78,063312;64,843264;56,659133
1997-01-31;221,314581;2516,512213;196,998043;56,874806;136,186419;117,907056;115,975157;119,69753;79,210041;80,991118;99,740901;70,758327;53,732085
1997-02-28;204,656092;2277,41003;201,724333;85,552624;126,90108;121,078924;102,084783;105,691907;76,423213;81,356402;101,803147;60,728368;45,403052
1997-03-31;218,686107;2524,38269;209,19514;96,756635;95,948603;126,989306;109,186225;113,134772;71,458285;94,795476;107,796262;70,274945;43,251821
1997-04-30;209,282493;2493,19228;248,329281;115,522465;125,683296;130,253878;122,084276;125,773894;81,347899;92,52293;116,505746;81,549858;35,671743
1997-05-31;213,241002;2315,815044;195,148787;96,93547;101,160598;124,59377;109,574906;115,276469;80,26447;84,428942;105,34764;74,325337;44,767816
1997-06-30;201,068154;1931,473407;213,815427;114,916502;130,974371;131,618078;107,630169;114,169624;77,187902;103,19072;110,898411;82,939053;131,832287
1997-07-31;217,820004;2491,443285;216,206173;118,520609;121,302286;144,136522;113,472384;116,849;78,508415;95,749415;64,364152;70,221339;171,93146
1997-08-31;209,190568;2381,766728;147,946422;75,179634;79,509816;75,335686;105,008055;100,718682;80,161253;75,614707;99,666178;71,474839;215,402148
1997-09-30;210,613965;2196,883388;240,294945;113,337576;137,135365;121,7526;113,396361;119,380898;79,230891;102,103436;110,443666;72,45874;242,574746
1997-10-31;221,294472;2229,16692;240,035176;118,10866;130,482805;143,843774;115,541843;123,899224;89,482622;94,102169;103,604107;73,501581;137,811918
1997-11-30;207,767171;2171,377212;210,390227;89,234722;111,976996;114,783014;100,619971;107,45288;76,775372;92,969168;93,321051;62,068644;90,126856
1997-12-31;221,597537;2288,559873;183,938233;72,576722;133,814493;100,5929;116,948487;133,517268;80,259367;102,495484;83,579496;71,388999;56,70189
1998-01-31;214,924374;2194,770019;194,708044;76,658117;139,708148;128,553798;111,787535;114,56514;79,657828;82,098518;101,104672;69,533908;56,743968
1998-02-28;194,594641;1977,457399;195,453045;87,32358;108,991623;123,12388;98,474183;107,840839;78,662942;81,516999;102,004104;62,922349;47,947358
1998-03-31;213,436342;1917,189948;231,007478;106,686976;127,321388;131,962538;114,97439;124,32791;77,599287;101,210688;115,091296;75,902685;45,054742
1998-04-30;201,593849;2076,639986;200,833049;103,267513;96,864686;153,765031;115,227419;125,993717;82,134798;91,859122;115,669876;79,807561;36,938542
1998-05-31;206,632474;1638,808254;167,436681;94,711985;107,395135;123,026422;103,485039;114,7542;77,562851;82,595235;103,05959;88,04336;46,148147
1998-06-30;196,490589;1438,038211;204,744327;119,782666;113,123518;134,746693;109,317334;123,644847;79,559961;107,638786;115,678714;91,158831;140,707078
1998-07-31;209,855586;2083,490217;208,561381;114,295897;102,079416;151,611894;110,156256;119,432535;83,999128;98,830449;66,435262;77,871889;180,203707
1998-08-31;201,892605;2120,36486;138,634165;76,699048;83,523134;79,251615;106,497997;109,024126;82,002342;78,680508;103,707135;66,997995;220,409204
1998-09-30;199,753918;1965,943182;237,097214;116,310018;137,603674;141,612403;111,265444;123,880916;79,044096;105,369622;113,97665;59,50886;252,911714
1998-10-31;206,343773;2143,539043;173,6809;114,478987;124,870174;144,416476;106,075472;124,666184;85,315167;91,743137;101,006869;67,027155;140,853016
1998-11-30;204,816961;2127,433714;182,612307;92,870729;132,235155;126,771969;105,490802;117,145565;82,412464;93,865997;94,221279;60,255414;91,998793
1998-12-31;203,6995;2062,065029;158,180477;79,977992;118,86512;115,61275;113,576421;126,469028;87,775113;101,19746;82,521026;70,114145;58,617807
1999-01-31;198,446863;1901,230369;170,474748;78,820003;133,357619;134,312722;104,714727;110,280542;82,849353;78,458671;96,622188;60,313229;57,989309
1999-02-28;179,060795;1775,958607;171,680926;81,934859;123,234232;127,939163;98,860714;106,079996;80,103402;81,775046;102,327009;55,966658;48,702103
1999-03-31;194,422282;2136,688813;205,218099;111,131404;126,725653;139,570307;121,660768;130,048162;86,302778;103,346399;117,519913;73,304414;45,986901
1999-04-30;180,567499;1703,448192;195,660825;107,97283;110,367303;131,151166;105,728653;116,861377;83,660421;88,528834;111,476344;73,56942;37,730602
1999-05-31;167,69947;692,893493;185,356171;100,849199;118,367785;121,694546;105,797469;113,37503;81,079613;83,697204;104,434594;71,802204;47,176689
1999-06-30;179,585053;1448,022057;213,94718;129,144819;129,847279;149,202349;108,12799;123,320456;85,524652;107,922747;115,983881;75,896778;138,879595
1999-07-31;191,029685;2126,777841;206,700362;116,892154;120,345009;145,48538;105,10547;106,599032;84,3428;95,761588;64,372333;73,999558;178,338349
1999-08-31;188,918288;2033,206612;155,318403;86,343199;85,140344;82,65983;111,178612;104,265861;87,121664;79,132713;104,303187;64,647533;219,494778
1999-09-30;184,062076;1996,696343;247,063735;120,295492;140,67008;137,498085;109,60732;113,995311;84,612103;104,798787;113,359181;71,166717;251,23016
1999-10-31;193,574851;2090,559071;206,288062;113,980981;126,12654;129,80759;106,531136;115,230781;89,361166;93,152302;102,558329;65,177188;142,804315
1999-11-30;182,460574;2004,785444;183,878114;102,764214;126,922671;124,867264;111,405464;110,919007;91,835101;97,278326;97,646524;65,079078;94,176814
1999-12-31;170,162766;1965,360184;165,865133;84,927351;144,653728;121,79242;112,693552;118,394413;82,592058;100,912646;82,288774;69,314319;59,942691
2000-01-31;173,337043;1965,068684;186,880883;84,395625;129,78836;123,546279;107,656687;108,316949;83,678174;78,738811;96,967176;60,686634;58,68556
2000-02-29;165,050888;1900,355872;185,42926;104,936188;131,921004;124,099483;103,667449;106,980071;81,245225;83,963255;105,06516;62,206632;48,989997
